Codigo;Denominacion_Generica_ES;Denominacion_Generica_VAL;Denominacion_Especifica;Denominacion;Regimen;Tipo_Via;Direccion;Num;Codigo_postal;Localidad;Provincia;Telefono;Fax;COD_EDIFICACION;long;lat;Titularidad;CIF;Comarca
03000047;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA RAMBLA;CEIP LA RAMBLA;Púb.;AV;DE ALCOY;S/N;3698;AGOST;Alacant;966908135;;1;-0.635608;38.438389;GENERALITAT VALENCIANA;Q5355128I;L'ALACANTÍ
03000060;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA MILAGROSA;CENTRE PRIVAT LA MILAGROSA;Priv. Conc.;CL;JUAN XXIII;2;3698;AGOST;Alacant;965691143;;1;-0.637196;38.435035;;;L'ALACANTÍ
03000096;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MIRADOR D'AIGÜES;CEIP MIRADOR D'AIGÜES;Púb.;AV;DEL DOCTOR SAPENA;S/N;3569;AIGÜES;Alacant;966908140;;1;-0.365124;38.500573;GENERALITAT VALENCIANA;Q5355126C;L'ALACANTÍ
03000138;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;VIRGEN DEL ROSARIO;CEP VIRGEN DEL ROSARIO;Púb.;CL;CALVARIO;70;3340;ALBATERA;Alacant;966912020;;1;-0.875071;38.183887;GENERALITAT VALENCIANA;Q5355176H;EL BAIX SEGURA/ LA VEGA BAJA
03000151;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JESÚS SÁNCHEZ;CEIP JESÚS SÁNCHEZ;Púb.;CL;SALVADOR;1;3349;SAN ISIDRO;Alacant;966912015;;1;-0.837016;38.17326;GENERALITAT VALENCIANA;Q5355315B;EL BAIX SEGURA/ LA VEGA BAJA
03000230;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;EL ROMERAL;CEIP EL ROMERAL;Púb.;CL;MESTRE RIBERA MONTÉS;10;3802;ALCOI;Alacant;966527820;;1;-0.487636;38.695844;GENERALITAT VALENCIANA;Q5355047A;L'ALCOIÀ
03000266;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN VICENTE;CEIP SAN VICENTE;Púb.;CL;SAN VICENTE;50;3801;ALCOI;Alacant;966527825;;1;-0.472831;38.690266;GENERALITAT VALENCIANA;Q5355109I;L'ALCOIÀ
03000308;CENTRO DE EDUCACIÓN ESPECIAL;CENTRE D'EDUCACIÓ ESPECIAL;TOMÀS LLÀCER;CEE PÚB. TOMÀS LLÀCER;Púb.;CL;PERIÓDICO CIUDAD;4;3801;ALCOI;Alacant;966527830;;1;-0.481172;38.70443;GENERALITAT VALENCIANA;Q5355174C;L'ALCOIÀ
03000345;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;JOSÉ ARNAUDA;CENTRE PRIVAT JOSÉ ARNAUDA;Priv. Conc.;CL;PADRE POVEDA;1;3804;ALCOI;Alacant;965330358;965333264;1;-0.470953;38.705883;;;L'ALCOIÀ
03000357;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;LA PRESENTACIÓN;CENTRE PRIVAT LA PRESENTACIÓN;Priv. Conc.;CL;PINTOR CASANOVA;22;3801;ALCOI;Alacant;965544702;965545623;1;-0.473228;38.699059;;;L'ALCOIÀ
03000382;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;ESCLAVES SCJ ALCOI;CENTRE PRIVAT ESCLAVES SCJ ALCOI;Priv. Conc.;CL;ARZOBISPO DOMENECH;19;3804;ALCOI;Alacant;965520616;966522020;1;-0.464162;38.708344;;;L'ALCOIÀ
03000394;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;PARE VITÒRIA;IES PARE VITÒRIA;Púb.;AV;DE ELCHE;15;3801;ALCOI;Alacant;966528115;;1;-0.475878;38.687524;GENERALITAT VALENCIANA;Q5355169C;L'ALCOIÀ
03000400;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;COTES BAIXES;IES COTES BAIXES;Púb.;PG;COTES BAIXES;S/N;3804;ALCOI;Alacant;966528110;;1;-0.463346;38.713786;GENERALITAT VALENCIANA;Q5355168E;L'ALCOIÀ
03000424;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SALESIANOS JUAN XXIII;CENTRE PRIVAT SALESIANOS JUAN XXIII;Priv. Conc.;CL;SAN JUAN BOSCO;37;3804;ALCOI;Alacant;965332640;965523197;1;-0.462327;38.708595;;;L'ALCOIÀ
