the_geom,codigo,dgenerica,despecific,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,cp,codigoine,cartodb_id,created_at,updated_at
0101000020E6100000FAFB27E0202FE9BF3339C65FA43D4340,03018805,CENTRO PRIVADO FORMACIÓN  PRO,CEDENPRO,true,CL,JAIME BALMES,68,3600,ELDA,Alacant,965390301,,03600,3066,3301,2014-08-29 16:49:24.65794+00,2014-09-06 18:00:59.863669+00,
0101000020E610000024582640705CE9BF631CC81FB13C4340,03012657,CENTRO PRIVADO FORMACIÓN  PRO,ACADEMIA DE PELUQUERÍA PELOS,true,CL,EDUARDO DATO,13,3600,ELDA,Alacant,965382120,,03600,3066,1670,2014-08-29 16:49:24.65794+00,2014-09-06 18:00:59.863669+00,
0101000020E6100000B4B726A033B0EBBFB32737401F514340,03012669,CENTRO PRIVADO FORMACIÓN  PRO,VICENTE MILLA MILLA,true,CL,BLASCO,31,3400,VILLENA,Alacant,965808434,,03409,3140,2100,2014-08-29 16:49:24.65794+00,2014-09-06 18:00:59.863669+00,
0101000020E6100000FED75840A31FDB3FC84D1E60F7354440,12000479,CENTRE PRIVAT D'EDUCACIÓ INFA,MAGDALA,true,CL,SANTOS MÁRTIRES,27,12580,BENICARLÓ,Castelló,964471503,,12580,12027,72,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000008723FB5F2F86DEBF79C14C8006594340,03013789,CONSERVATORI ELEMENTAL DE DANS,,false,CL,JUAN CANTÓ,2,3801,ALCOI,Alacant,965541128,,03801,3009,280,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000A91C7100B150DBBF17B14F00C5D74340,46030059,C. DOCENT PÚB. DE FORMACIÓ B,MUNICIPAL DE SERRA,false,CL,EL DORAOR,2,46118,SERRA,València,961688443,,46118,46228,1818,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E610000051E045A03847ADBF81902C6002F94340,12005647,INSTITUT D'EDUCACIÓ SECUNDÀR,VILA-ROJA,false,AV,GENERALITAT,22,12550,ALMASSORA,Castelló,964561273,964503057,12550,12009,2127,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,DE
0101000020E610000019BDEF1FD8FFE8BF0ECDE1FF333E4340,03007704,COL·LEGI D'EDUCACIÓ INFANTIL,REYES CATÓLICOS,false,CL,VILLAFRANQUEZA,S/N,3610,PETRER,Alacant,965370511,966952578,03610,3104,703,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000000C637CDF9238C7BFC011EEDF067C4340,46019261,CENTRE PÚBLIC DE FORMACIÓ DE,JAUME I,false,PZ,ESCOLES PIES,1,46701,GANDIA,València,962865739,,46701,46131,42,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E6100000FEA7BCFF8A8AE6BFFC892540A8204340,03004752,COL·LEGI D'EDUCACIÓ INFANTIL,DAMA D'ELX,false,CL,ANTONIO MOYA ALBADALEJO,23,3204,ELX,Alacant,966915290,966915291,03201,3065,240,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000022B4CCBFE9CFE2BFA5C46460D3CC4340,46020261,INSTITUT D'EDUCACIÓ SECUNDÀR,,false,CL,SEGORBE,2,46180,BENAGUASIL,València,962730225,962730067,46180,46051,1641,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,DE
0101000020E6100000A6D1D27F50B3E9BF8D7AE3FFE93E4340,03010247,COLEGIO DE EDUCACIÓN INFANTIL,SANTO NEGRO,false,CR,DE SAX,S/N,3600,ELDA,Alacant,965387156,965385071,03600,3066,238,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000004B8A0FFA59AA9BF24085740A14C4340,03012505,CONSERVATORI PROFESSIONAL DE M,D'ALTEA,false,CL,INGENIERO MUÑOZ,14,3590,ALTEA,Alacant,965845844,965845844,03590,3018,594,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000B731E760D05ECBBFD15A2CA0AB484340,03017606,ESCOLA INFANTIL DE PRIMER CICL,MUNICIPAL,false,CL,SIERRA CORTINA,7,3509,FINESTRAT,Alacant,,,03509,3069,3097,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000004FCAD4BF4CCDE0BF2EE301C00C9D4340,46023766,ESCOLA PRIVADA DE MÚSICA,UNIÓN MUSICAL,true,AV,CAJA DE AHORROS,3,46240,CARLET,València,962993849,,46240,46085,2085,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000FFAAFD7F9727E3BF8E89EF1F66694340,46033243,CENTRE PRIVAT D'EDUCACIÓ INFA,EL MÓN DELS MENUTS,true,CL,JOSÉ IRANZO,69,46870,ONTINYENT,València,663241042,,46870,46184,3197,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000548C7100287FDEBF55C80160E1B64340,46030813,CENTRE PRIVAT D'EDUCACIÓ INFA,L'ESCOLETA,true,CL,VIRGEN DEL PUIG,24,46900,TORRENT,València,653648005,,46900,46244,2188,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000E9C7F6BFFB71E6BFAF732E200F224340,03018659,ESCOLA PRIVADA DE MÚSICA,CIUDAD DE ELCHE,true,CL,ALFREDO LLOPIS,14,3201,ELX,Alacant,,,03201,3065,3371,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E61000003BC9FFDF36C5DBBF1A24E93F10984340,46023602,CENTRE PRIVAT D'EDUCACIÓ INFA,BAMBI,true,CL,LES ESCOLES,7,46680,ALGEMESÍ,València,962425050,,46680,46029,974,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000046E37B3F68AFD9BFAAD9B91FA6C54340,46005636,"CENTRE PRIVAT E. INFANTIL, PRI",SAN JOSÉ,true,CL,VALENCIA,32,46113,MONCADA,València,961393299,,46113,46171,1602,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000C7515860CA6BD6BF3FFADCBF68BC4340,46011247,CENTRE PRIVAT E. INFANTIL I PR,CENTRO ESTUDIOS EUROPA,true,CL,SENECA,3,46021,VALENCIA,València,963690315,963690315,46021,46250,1995,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000B04313600C10E3BF7A25DA9FD5F54340,12006135,ESCUELA PRIVADA DE MÚSICA,SANTA CECILIA,true,CL,LA CADENA,2,12460,VIVER,Castelló,,,12460,12140,2841,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000EDB80940A1F3D8BF6457B5FF5CBB4340,46023110,CENTRE PRIVAT D'EDUCACIÓ INFA,EL TRENET,true,CL,RAMÓN DE CASTRO,11-13,46018,VALENCIA,València,963800758,963803719,46018,46250,2942,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000003798F77FA850D7BF16C8A29F5FBB4340,46024400,CENTRE PRIVAT D'EDUCACIÓ INFA,TEYSA,true,CL,CISCAR,58,46005,VALENCIA,València,963739533,,46005,46250,2997,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000095045D40459CAEBFCE0AB19F6A4B4340,03014885,CENTRE PRIVAT D'EDUCACIÓ INFA,ALTEA,true,CL,LES LLIMERES,S/N,3590,ALTEA,Alacant,965843340,966881247,03590,3018,2026,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000CF7416C00B30E0BF81B9CC9F25C84340,46023328,CENTRE PRIVAT E. PRIMÀRIA I S,FUNDACIÓN SAN VICENTE FERRER,true,CL,VEREDA,S/N,46184,SAN ANTONIO DE BENAGÉBER,València,961352060,961350528,46184,46903,3028,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,CDE
0101000020E610000037EC7FFF34B5D7BF393D4A80F5BD4340,46031192,CENTRE PRIVAT D'EDUCACIÓ INFA,NINONANOS,true,CL,SENDA DE L'AIRE,6,46010,VALENCIA,València,963605687,963605687,46010,46250,2409,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000DC1E2E80C360D8BFAB58576023BB4340,46023055,CENTRE PRIVAT FORMACIÓ PROFES,INSTITUTO INTER,true,CL,DOCTOR GIL Y MORTE,17,46007,VALENCIA,València,963808764,963411452,46007,46250,2024,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,F
0101000020E6100000373F907F1090D5BF5F4260408ABB4340,46018588,CENTRE AUTORITZAT D'ENSENYANCE,ESTUDIO DANZA MARÍA CARBONELL,true,CL,ALCALDE CANO COLOMA,7,46022,VALENCIA,València,963805843,963934789,46022,46250,2847,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E61000001CB0C91FAE2AD5BFC178BC7FE2C84340,46005223,"CENTRE PRIVAT E. INFANTIL, PRI",SAGRADA FAMILIA,true,PZ,CONSTITUCIÓN,11,46130,MASSAMAGRELL,València,961441712,961452559,46130,46164,1209,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E61000001C300AE03829E4BF3D46D49F588C4340,46021216,ESCOLA PRIVADA DE MÚSICA,JOSEP ROSELL,true,CL,ESPRONCEDA,2,46295,SUMACÀRCER,València,645201774,,46295,46236,496,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000604D865FC1A8D8BFE3DB16C0EFBA4340,46026834,CENTRE PRIVAT D'EDUCACIÓ INFA,GIORGETA 0-3,true,AV,GIORGETA,25,46007,VALENCIA,València,963420970,,46007,46250,2265,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000585DC560492B8E3FDB3818A0235D4340,03016365,CENTRE DOCENT PRIVAT ESTRANGER,THE LADY ELIZABETH SCHOOL,true,CR,JALÓN-BENISSA,S/N,3729,LLÍBER,Alacant,965731960,965732577,03729,3085,1101,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E61000002601A860D8D39EBF445964E025004440,12007358,CENTRE DOCENT PRIVAT ESTRANGER,ELIAN'S BRITISH SCHOOL,true,RD,NORD DE CIRCUMVAL·LACIÓ,346,12004,CASTELLÓ DE LA PLANA,Castelló,964261241,,12004,12040,2311,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E61000008D753CE01DC4AE3FD8EBDD1FEF064440,12005180,ESCOLA PRIVADA DE MÚSICA,SANTA CECILIA,true,CL,LOS DOLORES,132,12560,BENICÀSSIM,Castelló,964303377,964303234,12560,12028,276,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E61000007BCA2CA02207E2BFD49EA39FBAC54340,46031593,CENTRE PRIVAT D'EDUCACIÓ INFA,SANTA ANA,true,CL,JOAN FUSTER,3,46190,RIBA-ROJA DE TÚRIA,València,961653599,961653599,46190,46214,2285,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000001A8CB05FB29CDBBF9F2AF05F6AD74340,46033671,ESCOLA PRIVADA DE MÚSICA,"TÍO PEPET, EL MÚSIC",true,CL,REBALSADORS,3,46118,SERRA,València,620034227,,46118,46228,3239,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000C9AD9CFF4F8CDABF8D4BC1BFADBC4340,46019830,ESCOLA PRIVADA DE MÚSICA,CENTRO INSTRUCTIVO MUSICAL MIS,true,CL,MAYOR,30,46920,MISLATA,València,963705618,,46014,46250,2247,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000957333209EECD9BFF55C01E033BA4340,46030060,CENTRE PRIVAT D'EDUCACIÓ INFA,FANTASÍA,true,CL,JOSÉ ANDREU ALABARTA,5,46014,VALENCIA,València,963206892,963206892,46014,46250,1820,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000B23F8560AB3DD5BFCE0DF21F77BB4340,46021101,ESCOLA PRIVADA DE MÚSICA,DEL PUERTO,true,CL,ROSARIO,31,46011,VALENCIA,València,963672333,,46011,46250,437,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E610000020EA3E00A9CDE8BF9DB1D41F06F94240,03017242,CENTRO DOCENTE PRIVADO EXTRANJ,EL LIMONAR INTERNATIONAL SCHOO,true,CL,LAS FILIPINAS,15,3193,SAN MIGUEL DE SALINAS,Alacant,966722821,,03193,3099,2813,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E610000037999AFFB52EDABF555BB1BFECB34340,46031738,CENTRE PRIVAT D'EDUCACIÓ INFA,ALIBOMBO,true,CL,JOSEP SERRA CARSÍ,5,46470,CATARROJA,València,961432644,,46470,46094,2310,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000FD021600B0C8E9BF39950C0055B14340,46021228,ESCUELA PRIVADA DE MÚSICA,MAESTRO BARCELÓ,true,CL,PESSET ALEIXANDRE,3,46367,YÁTOVA,València,962508514,,46367,46261,2592,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E610000040C879FF1F27DEBF92D96A20A7B74340,46024436,CENTRE PRIVAT D'EDUCACIÓ INFA,CAP I CUA,true,CL,EL SALVADOR,18,46900,TORRENT,València,961572071,961572071,46900,46244,667,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000562F260076C3DFBF93145800532C4340,03017011,CENTRE PRIVAT FORMACIÓ PROFES,STYLE ZENTER FORMACIÓN DE EST,true,CL,TATO,5-7,3005,ALACANT,Alacant,965924688,965924688,03005,3014,2627,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,F
0101000020E61000006FF0A31FAF95DBBF2F8B3F40AD334340,03019408,CENTRE PRIVAT D'EDUCACIÓ INFA,NEPTÚ,true,CL,MANOLO MORÁN,1,3550,SANT JOAN D'ALACANT,Alacant,965653888,,03550,3119,3358,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000439C6FC0BE48D7BF9169D9FFA5BD4340,46011090,CENTRE DOCENT PRIVAT ESTRANGER,COLEGIO ALEMÁN DE VALENCIA,true,CL,JAIME ROIG,14-16,46010,VALENCIA,València,963690100,963691043,46010,46250,26,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E6100000145249601D8EC8BFE6EA22E06B794340,46032861,ESCOLA PRIVADA DE MÚSICA,TRADICIONAL,true,CL,LLAURADOR VALENCIA,17,46727,REAL DE GANDÍA,València,669664960,,46727,46211,3319,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E61000009C9D16000649D8BFCCD545C0D7BE4340,46032901,CENTRE PRIVAT D'EDUCACIÓ INFA,PIPO 2,true,AV,DOCTOR PESSET ALEIXANDRE,60,46025,VALENCIA,València,961933855,963651687,46025,46250,3322,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000063F22E60C754E0BF246F25E07CCB4340,46032019,CENTRE PRIVAT D'EDUCACIÓ INFA,MENTA,true,CL,LES PENYES (URBANITZACIÓ LES,15,46185,POBLA DE VALLBONA (LA),València,962760905,,46117,46070,3367,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
