the_geom,codigo,dgenerica,despecific,dabreviada,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud,cartodb_id,created_at,updated_at,nived,cp,regimen
0101000020E610000050F701486DE2D9BFDD5ED218ADB34340,46021496,ESCOLA PRIVADA DE MÚSICA,LA ARTESANA,ESCOLA PRIVADA DE MÚSICA LA ARTESANA,CL,COLÓN,21,46470,CATARROJA,València,,,39.40372,-0.404445,822,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46470,false
0101000020E61000002B80290307B4D6BF632827DA55944340,46021289,ESCOLA PRIVADA DE MÚSICA,,ESCOLA PRIVADA DE MÚSICA,CL,GUILLEM SOROLLA,23,46612,CORBERA,València,962560269,,39.15887,-0.354738,515,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46612,false
0101000020E61000006CB07092E68FDE3F9BDCEF50143C4440,12005477,ESCOLA PRIVADA DE MÚSICA,,ESCOLA PRIVADA DE MÚSICA,CL,COLÓN,S/N,12500,VINARÒS,Castelló,964456203,,40.46937,0.477533,797,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,12500,false
0101000020E61000009A779CA223B9DFBF3F6F2A5261304340,3011124,ESCOLA D'ART I SUPERIOR DE DISSENY,,ESCOLA D'ART I SUPERIOR DE DISSENY,CL,DEL CLOT,12,3011,ALACANT,Alacant,965937030,965937031,38.37797,-0.495675,748,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,03011,true
0101000020E610000093C83EC8B260E2BF234A7B832F444340,3008587,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,TIBI,CEIP TIBI,CL,CASTALLA,S/N,3109,TIBI,Alacant,966908195,966908196,38.5327,-0.574304,1797,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03109,true
0101000020E6100000882CD2C43BC0D6BF4B598638D6E14340,46027024,COL·LEGI RURAL AGRUPAT,BARONIA ALTA,CRA BARONIA ALTA,CL,ERMITA,18,46148,ALFARA DE LA BARONIA,València,962617385,962617386,39.76435,-0.355483,2268,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,46148,true
0101000020E6100000001DE6CB0BB0D5BF47551344DDBB4340,46013098,INSTITUT D'EDUCACIÓ SECUNDÀRIA,SOROLLA,IES SOROLLA,CL,JOSÉ MARÍA HARO,2,46022,VALENCIA,València,961206060,961206061,39.46769,-0.33887,1296,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46022,true
0101000020E61000004E7CB5A33847ADBF70253B3602F94340,12005647,INSTITUT D'EDUCACIÓ SECUNDÀRIA,VILA-ROJA,IES VILA-ROJA,AV,GENERALITAT,22,12550,ALMASSORA,Castelló,964738945,964738946,39.94538,-0.057184,2144,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,12550,true
0101000020E610000031B1F9B83654E9BF72BF4351A03B4340,3014617,COLEGIO DE EDUCACIÓN PRIMARIA,PINTOR SOROLLA,CEP PINTOR SOROLLA,AV,RONDA,S/N,3600,ELDA,Alacant,966957455,966957456,38.46583,-0.79153,596,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,B,03600,true
0101000020E6100000475A2A6F47B8E9BF317C444C89144340,3015701,ESCUELA PRIVADA DE MÚSICA,LA CONSTANCIA,ESCUELA PRIVADA DE MÚSICA LA CONSTANCIA,CL,ÓSCAR ESPLÁ,9-1,3158,CATRAL,Alacant,965723368,,38.16044,-0.803745,1948,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,03158,false
