the_geom,cp,nombre,codigoine,jurisdicci,cartodb_id,created_at,updated_at
0101000020E61000007D8DC9AAB577CABF44710200137B4340,46703,Gandia,46131,46131,664,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000001042344B89B7C7BFD6118ACFE3ED4340,12526,La Vilavella,12136,12136,1,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000A8F27D4932F0E1BF1D4C9EA05BA34340,46197,Alfarp,46026,46026,2,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000314AEE64F85FDBBF487073FCAFD74340,46118,Serra,46228,46228,3,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000006571FAAB1CD3D5BF1F9CC9473AF34340,12222,Aín,12002,12002,4,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000B281E2AA9547D0BF1594192CD4944340,46400,Cullera,46105,46105,5,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000040465BE55365DDBFDA616C6D90CB4340,46117,Bétera,46070,46070,6,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000C4C5B72602EBDABF74D619DF973D4340,3111,Busot,3046,3046,7,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FFB8A919C96EE5BF8DC48B9F7E504340,3430,Onil,3096,3096,8,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000047CD7227240485BFD8F88E9E765E4340,3727,Xalò,3081,3081,9,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000004964290D58C6C8BF16A2EBA8C25C4340,3793,Castell de Castells,3054,3054,10,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000003B8F64B4273DD4BFD6757A278F5C4340,3811,Quatretondeta,3060,3060,11,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000C55AC7E08828AB3FE0FE8820B45B4340,3720,Benissa,3041,3041,12,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000009682177AC461A53FB9474DE11C5D4340,3729,Senija,3125,3125,13,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000B04EEC0AD486CFBF1E943CE68F5D4340,3813,Famorca,3068,3068,14,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000E9BF3277F51DD1BFE551C6F0085E4340,3813,Facheca,3067,3067,15,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000A628AC44895DCDBFF32A4C1133564340,3517,Benifato,3033,3033,16,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000089AE64FDFDAFDFBFD6875F81182D4340,3005,Alacant/Alicante,3014,3014,17,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000001BBB51E064BEE0BF191E78B201334340,3690,San Vicente del Raspeig/Sant Vicent del Raspeig,3122,3122,18,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000009C88D5700175E8BF989044866B504340,3410,Biar,3043,3043,19,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000004E559DFE2D6CABFDF41CFA78D564340,3516,Benimantell,3037,3037,20,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000F7BCBA0B10ADBCBF73BDAA9C8E564340,3518,Bolulla,3045,3045,21,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
